Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1425.05,2021-01-01,1432.17,1445.85,1423.7,1416.86,1410.02,1400.27,Awaiting Targets
2021-01-08,1431.65,2021-01-08,1432.19,1422.77,1439.58,1444.77,1450.67,1456.39,Awaiting Targets
2021-01-14,1468.75,2021-01-14,1471.01,1488.43,1460.24,1451.53,1442.82,1430.42,Awaiting Targets
2021-01-21,1474.8,2021-01-19,1493.58,1481.2,1503.3,1510.12,1517.88,1525.4,Stop Loss has occured
2021-01-22,1443.55,2021-01-22,1454.87,1465.41,1448.35,1443.08,1437.82,1430.32,Awaiting Targets
2021-01-01,123.65,2020-12-31,122.39,123.76,121.54,120.86,120.17,119.19,Stop Loss has occured
2021-01-15,138.5,2021-01-15,141.42,146.43,138.32,135.82,133.31,129.74,Awaiting Targets
2021-01-01,3481.25,2020-12-16,3288.24,3261.97,3308.86,3323.34,3339.79,3355.75,Final Target Reached
2021-01-11,3617.35,2021-01-11,3575.98,3551.08,3595.53,3609.26,3624.85,3639.97,Awaiting Targets
2021-01-15,3580.3,2021-01-15,3583.07,3624.0,3557.75,3537.29,3516.82,3487.69,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-29,4005.8,2021-01-29,4092.29,4244.71,3998.0,3921.79,3845.58,3737.08,Awaiting Targets
2021-02-05,4231.25,2021-02-05,4231.26,4284.76,4198.16,4171.41,4144.66,4106.57,Awaiting Targets
2021-01-01,900.15,2021-01-01,898.05,914.5,887.87,879.65,871.43,859.72,Awaiting Targets
2021-01-06,922.35,2021-01-06,923.36,913.87,930.81,936.04,941.99,947.75,Awaiting Targets
2021-01-11,929.1,2021-01-11,937.28,954.57,926.59,917.94,909.3,896.99,Awaiting Targets
2021-01-14,969.7,2021-01-14,963.67,953.62,971.55,977.1,983.39,989.49,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-02-01,970.6,2021-02-01,916.75,878.66,946.66,967.66,991.51,1014.65,Awaiting Targets
2021-01-01,135.35,2020-12-30,135.83,137.08,135.06,134.43,133.8,132.91,Target 1 Reached
2021-01-05,135.15,2021-01-05,135.76,135.0,136.36,136.78,137.25,137.71,Awaiting Targets
2021-01-15,143.25,2021-01-15,145.0,148.54,142.81,141.04,139.27,136.75,Awaiting Targets
2021-01-01,623.8,2020-12-31,621.2,636.68,611.62,603.88,596.14,585.12,Awaiting Targets
2021-01-12,675.7,2021-01-12,670.31,681.1,663.63,658.24,652.84,645.16,Awaiting Targets
2021-01-21,675.85,2021-01-21,680.34,671.77,687.07,691.8,697.16,702.37,Awaiting Targets
2021-01-28,670.7,2021-01-25,654.94,668.2,646.73,640.1,633.47,624.03,Final Target Reached
2021-01-29,662.9,2021-01-29,665.69,653.13,675.55,682.48,690.35,697.98,Awaiting Targets
